group,letters,sleep,caffeine
ordered,7,8,1
ordered,7,7,1
ordered,19,7,0
ordered,3,5,0
ordered,22,7,0
ordered,7,7,0
ordered,12,7,1
ordered,34,6,0
ordered,10,6,1
ordered,14,6,1
ordered,12,7,0
ordered,7,5,0
unordered,7,5,0
unordered,7,7,1
unordered,10,3,1
unordered,1,8,0
unordered,1,8,1
unordered,12,7,1
unordered,10,6,0
unordered,16,6,0
unordered,16,3,1
unordered,10,4,1
unordered,12,7,0
unordered,7,5,0
unordered,12,7,1
ordered,10,7,0
unordered,7,5,1
ordered,7,5,1
unordered,7,5,1
ordered,22,7,1
ordered,10,7,0
unordered,16,6,0
ordered,19,6,0
ordered,19,5.5,0
unordered,12,6,1
unordered,7,5,0
ordered,7,6,0
unordered,10,5,0
unordered,16,7,1
ordered,19,5.5,0
